item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B002RL7VQG,740 690 1472 4072 29764,740 690 1472 4072,8,67,-24.4709529876709,-28.30348014831543,0.0,0.09133308035622889
B002RL7VR0,740 9931 2719 9635 3767,740 9931 2719 9635,10,169,-21.52286720275879,-16.32209587097168,0.0,0.8007493156310428
B002RL7VRK,740 9931 7540 443 9993,740 9931 7540 443,5,58,-21.001188278198242,-18.892791748046875,0.0,0.38355030797340284
B002RL7VS4,740 9931 8947 2195 7605,740 9931 8947 2195,20,90,-18.8467960357666,-17.145870208740234,0.0,-0.49580338946446645
B002RL7VSY,740 5627 3247 23802 11289,740 5627 3247 23802,5,18,-24.75761604309082,-27.368873596191406,0.0,-0.7677057141801296
B002RL7VTS,740 5627 22350 31090 9531,740 5627 22350 31090,4,14,-23.592554092407227,-23.463687896728516,0.0,-0.8106571013757282
B002RL7VUM,740 5627 6938 836 16940,740 5627 6938 836,4,14,-23.88161849975586,-28.998397827148438,0.0,-0.8106571013757282
B002RL7VX4,740 90 9102 20404 1076,740 90 9102 20404,17,116,-19.939464569091797,-13.569808959960938,0.0,-0.0850379619496966
B002RL7W0G,740 90 29704 17048 8434,740 90 29704 17048,5,4,-22.221710205078125,-23.832128524780273,0.0,-2.1813990494881335
B002RL7W60,740 90 7069 8181 18750,740 90 7069 8181,5,0,-20.113391876220703,-20.66670036315918,0.0,-4.3786236268243535
B002RL7W8I,740 90 28663 6396 140,740 90 28663 6396,4,1,-17.093942642211914,-14.012896537780762,0.0,-3.0793406426940937
B002RL7W9C,740 28784 16054 21039 26809,740 28784 16054 21039,10,97,-24.622848510742188,-25.018692016601562,0.0,0.24774876681433966
B002RL7WB0,740 615 5752 1947 8008,740 615 5752 1947,8,40,-20.050525665283203,-15.172843933105469,0.0,-0.4194925434097616
B002RL7WCE,740 2213 4667 14466 3903,740 2213 4667 14466,6,5,-21.905296325683594,-23.768096923828125,0.0,-2.14778243868915
B002RLE2TK,4183 4031 6647 1886 4397,4183 4031 6647 1886,5,29,-23.829540252685547,-23.71722412109375,0.0,-0.30108618291863465
B002RMO88Y,14295 6840 935 5221 4232 536,14295 6840 935 5221 4232,4,13,-17.31698989868164,-14.165679931640625,-0.27594566345214844,-0.8821160653578737
B002RNQUSY,5364 6235 1688 7089 26312,5364 6235 1688 7089,28,261,-23.808061599731445,-25.47402000427246,0.0,0.23580184220438838
B002RNR48Y,2341 4952 10235 5405 21327,2341 4952 10235 5405,5,1,-21.02981948852539,-20.897777557373047,0.0,-3.2800113381562443
B002RNU4OU,2341 19239 22385 31987 29670,2341 19239 22385 31987,4,3,-24.16830825805664,-25.82280921936035,0.0,-2.2320427823068894
B002RQU3VQ,3203 4072 21058 11986 20176,3203 4072 21058 11986,2,0,-25.098743438720703,-26.888654708862305,0.0,-3.590166266460084
B002RR1MVK,3203 2601 7801 496 539,3203 2601 7801 496,9,12,-22.094776153564453,-17.222858428955078,0.0,-1.706291508324222
B002RTIOFA,467 1476 1227 19974 25463,467 1476 1227 19974,7,0,-23.287059783935547,-18.54210662841797,0.0,-4.688778555128193
B002RWT87U,740 5748 11968 11916 5297,740 5748 11968 11916,16,38,-21.702098846435547,-19.63301658630371,0.0,-1.1334304936387802
B002RXWLBE,3203 7567 5262 9135 23714,3203 7567 5262 9135,7,3,-23.63334083557129,-23.00893783569336,0.0,-2.74286840607288
B002RYVRH2,2100 1088 14938 22756 29482,2100 1088 14938 22756,9,74,-22.427846908569336,-20.963438034057617,0.0,0.07877897275303702
B002S3VP1U,17582 17335 2004 1339 11184,17582 17335 2004 1339,4,1,-19.826942443847656,-14.588632583618164,0.0,-3.0793406426940937
B002S4U8M6,14351 15073 9888 13762 23095,14351 15073 9888 13762,11,90,-24.080902099609375,-26.937793731689453,0.0,0.08227446131069271
B002S52VPC,2412 7429 1601 1463 974,2412 7429 1601 1463,3,35,-21.482101440429688,-23.418134689331055,0.0,0.3360413739600201
B002S52VQ6,2412 7429 7620 1601 1463,2412 7429 7620 1601,3,0,-21.05032730102539,-16.059669494628906,0.0,-3.9266385030812962
B002S52VU2,2412 7429 1463 1601 7277,2412 7429 1463 1601,23,144,-22.32636833190918,-15.786110877990723,0.0,-0.16444926762360979
B002S52VWU,2244 3827 14268 2642 2754,2244 3827 14268 2642,29,207,-22.745609283447266,-18.695837020874023,0.0,-0.02998727770100551
B002S52VY8,2412 2754 6724 6626 3827,2412 2754 6724 6626,5,6,-21.013397216796875,-16.493846893310547,0.0,-1.8136742693628172
B002S52VZ2,2412 2754 6244 6035 5339,2412 2754 6244 6035,11,37,-23.27040672302246,-25.111757278442383,0.0,-0.7987344564188223
B002S52W4C,2412 7429 8019 2754 189,2412 7429 8019 2754,7,14,-20.22804832458496,-11.53715991973877,0.0,-1.3214827251417187
B002S52W7Y,2412 7429 7632 15470 2754,2412 7429 7632 15470,4,32,-22.6053466796875,-18.63155174255371,0.0,-0.0035656614665651176
B002S52W8I,2412 1463 2541 21870 6542,2412 1463 2541 21870,6,62,-22.27505111694336,-15.066512107849121,0.0,0.28263602581477976
B002S52W8S,2412 1463 4716 3098 593,2412 1463 4716 3098,7,39,-23.542362213134766,-22.314294815063477,0.0,-0.3193307026611709
